xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:field=prec_X_CCA_loadings, cpt:Mode=1, cpt:nrow=33, cpt:ncol=30, cpt:row=Y, cpt:col=X
	68.	69.	70.	71.	72.	73.	74.	75.	76.	77.	78.	79.	80.	81.	82.	83.	84.	85.	86.	87.	88.	89.	90.	91.	92.	93.	94.	95.	96.	97.
37.	1.879634	2.012398	1.998356	1.693292	1.332968	1.068500	1.168119	1.316791	1.439939	1.658323	1.906719	2.026247	1.964705	1.766815	1.551042	1.559817	1.496971	1.673179	1.768849	1.787204	1.998656	2.063153	2.048414	2.288158	2.416577	2.475984	2.764347	2.937316	2.999347	2.943968
36.	2.067513	2.534350	2.648381	2.606822	2.480622	2.312294	2.467010	2.641561	2.750467	2.910538	2.881876	2.646066	2.506217	2.142848	1.785869	1.811982	1.760119	1.885297	1.977652	1.989444	2.086424	2.065788	2.002583	2.296773	2.502287	2.659693	3.016265	3.283919	3.355544	3.235380
35.	2.132167	2.700846	2.850666	2.934697	2.964119	2.894979	3.010234	3.095739	3.105995	3.272739	3.160197	2.808837	2.649335	2.239926	1.847801	1.882610	1.834432	1.931279	1.997560	1.978414	2.011216	1.926664	1.818651	2.170015	2.446373	2.671420	3.054483	3.344429	3.373440	3.137334
34.	3.411173	3.605409	3.611491	3.656423	3.692137	3.657861	3.833041	3.935845	3.966980	4.089302	4.116988	4.063591	4.011650	3.809624	3.413127	3.186726	2.768071	2.486860	2.352218	2.199941	2.186243	2.090550	1.978410	2.296051	2.523731	2.705119	3.015557	3.140427	2.967531	2.602488
33.	4.123397	4.151249	4.107648	4.144406	4.207800	4.240226	4.337166	4.341376	4.311178	4.339936	4.317846	4.271815	4.249538	4.161164	3.937675	3.729494	3.301271	2.940871	2.747665	2.500620	2.452912	2.373652	2.277742	2.469372	2.550691	2.601172	2.622295	2.138377	1.493984	.808681
32.	4.364390	4.346105	4.284428	4.328809	4.414117	4.473425	4.539361	4.507468	4.455396	4.435485	4.363828	4.280203	4.228084	4.091604	3.861214	3.718916	3.434275	3.240625	3.172964	2.983817	2.849478	2.714140	2.561647	2.414966	2.195688	1.976092	1.268620	.317273	-.332216	-.985155
31.	4.448318	4.394025	4.332759	4.369334	4.437016	4.487397	4.582248	4.609670	4.595718	4.465151	4.227041	3.961843	3.700886	3.365011	3.157718	3.152416	3.102358	3.129113	3.208268	3.132656	2.761355	2.068479	.986421	-.277450	-1.359940	-1.930781	-2.274809	-2.357080	-2.472662	-2.729250
30.	4.496223	4.408082	4.332814	4.366724	4.429252	4.472875	4.576386	4.631844	4.641387	4.417019	3.982232	3.558472	3.304140	3.052753	2.958993	3.020943	3.042043	3.103199	3.188033	3.084805	2.625297	1.723858	.352981	-1.219929	-2.187041	-2.558035	-2.754853	-2.774986	-2.839576	-3.033231
29.	4.490947	4.391668	4.315024	4.350298	4.412073	4.454522	4.553589	4.616801	4.637457	4.400566	3.890860	3.411137	3.210402	3.016210	2.961524	3.033418	3.061911	3.125000	3.181015	2.973236	2.289204	1.099061	-.316201	-1.644136	-2.442237	-2.763534	-2.889483	-2.885068	-2.931219	-3.108977
28.	4.378619	4.320297	4.273834	4.310768	4.365317	4.402969	4.502721	4.578682	4.619561	4.513691	4.205868	3.823607	3.594784	3.335272	3.204217	3.176036	3.081731	3.027150	2.807252	2.223203	1.173697	-.045127	-.995954	-1.766518	-2.386162	-2.736578	-2.788660	-2.759277	-2.783360	-2.956924
27.	4.257461	4.235512	4.207724	4.252882	4.305890	4.336190	4.442509	4.527697	4.576837	4.565938	4.435515	4.229915	4.076798	3.727470	3.430866	3.151969	2.775160	2.474272	2.004720	1.451738	.466609	-.523218	-1.207119	-1.768941	-2.279785	-2.609827	-2.615413	-2.546447	-2.534967	-2.710972
26.	4.245298	4.249175	4.239359	4.299143	4.362438	4.399130	4.500120	4.577247	4.617957	4.620752	4.528209	4.377106	4.314061	3.985049	3.619313	3.196681	2.654274	2.266136	1.810404	1.354424	.418923	-.529392	-1.180911	-1.686299	-2.158301	-2.472097	-2.478536	-2.408637	-2.414902	-2.651674
