xmlns:cpt=http://iri.columbia.edu/CPT/v10/
xmlns:cf=http://cf-pcmdi.llnl.gov/documents/cf-conventions/1.4/
cpt:nfields=1
cpt:T	1982-06/09	1983-06/09	1984-06/09	1985-06/09	1986-06/09	1987-06/09	1988-06/09	1989-06/09	1990-06/09	1991-06/09	1992-06/09	1993-06/09	1994-06/09	1995-06/09	1996-06/09	1997-06/09	1998-06/09	1999-06/09	2000-06/09	2001-06/09	2002-06/09	2003-06/09	2004-06/09	2005-06/09	2006-06/09	2007-06/09	2008-06/09	2009-06/09	2010-06/09	2011-06/09	2012-06/09	2013-06/09	2014-06/09	2015-06/09	2016-06/09	2017-06/09	2018-06/09	2019-06/09	2020-06/09	2021-06/09	2022-06/09
cpt:field=prec, cpt:L=6.0 months, cpt:S=1982-02-01T00:00, cpt:nrow=11, cpt:ncol=11, cpt:row=Y, cpt:col=X, cpt:units=mm/day, cf:standard_name=lwe_precipitation_rate, cpt:missing=-999, cpt:T=1982-06/09
5.0	  197.565    	  207.335    	  211.022    	  212.490    	  216.084    	  226.626    	  222.977    	  204.479    	  181.476    	  160.235    	  142.939    
4.0	  201.348    	  207.819    	  219.858    	  230.036    	  231.359    	  217.269    	  202.837    	  182.515    	  161.690    	  143.821    	  130.435    
3.0	  177.313    	  204.899    	  223.251    	  230.902    	  225.317    	  202.886    	  185.464    	  168.646    	  153.741    	  142.183    	  135.533    
2.0	  169.418    	  195.453    	  211.966    	  216.321    	  208.922    	  193.208    	  180.084    	  168.041    	  157.697    	  150.919    	  150.821    
1.0	  160.992    	  181.239    	  196.331    	  203.306    	  200.277    	  186.424    	  182.964    	  180.051    	  174.745    	  168.842    	  168.876    
0.0	  156.050    	  168.451    	  175.662    	  182.489    	  188.016    	  185.604    	  190.212    	  194.803    	  191.982    	  183.603    	  180.764    
cpt:field=prec, cpt:L=6.0 months, cpt:S=1985-02-01T00:00, cpt:nrow=11, cpt:ncol=11, cpt:row=Y, cpt:col=X, cpt:units=mm/day, cf:standard_name=lwe_precipitation_rate, cpt:missing=-999, cpt:T=1985-06/09
	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0
10.0	  285.106    	  284.511    	  292.155    	  306.832    	  321.685    	  324.215    	  316.113    	  308.189    	  297.935    	  284.630    	  269.342    
9.0	  245.417    	  240.042    	  247.350    	  265.728    	  286.684    	  294.845    	  291.828    	  290.801    	  283.114    	  268.191    	  253.528    
8.0	  201.278    	  206.698    	  216.387    	  233.220    	  253.641    	  267.666    	  272.595    	  269.828    	  261.127    	  247.843    	  230.920    
7.0	  184.195    	  191.867    	  195.645    	  205.340    	  223.450    	  245.163    	  250.301    	  245.750    	  233.636    	  216.369    	  196.646    
6.0	  191.512    	  183.714    	  183.770    	  193.353    	  212.420    	  239.212    	  242.161    	  230.345    	  211.394    	  190.594    	  170.890    
5.0	  177.170    	  191.850    	  198.096    	  204.513    	  214.932    	  228.413    	  224.557    	  206.034    	  183.529    	  162.873    	  145.045    
4.0	  165.200    	  175.401    	  191.631    	  207.676    	  216.457    	  210.034    	  196.408    	  178.164    	  157.997    	  138.342    	  121.371    
3.0	  144.727    	  169.342    	  187.286    	  200.142    	  203.940    	  189.147    	  173.383    	  156.579    	  138.565    	  121.502    	  109.890    
2.0	  143.833    	  161.362    	  175.372    	  185.390    	  188.097    	  177.327    	  163.768    	  147.921    	  132.109    	  119.224    	  112.727    
1.0	  137.729    	  149.469    	  164.124    	  178.759    	  186.356    	  175.808    	  163.913    	  149.545    	  137.458    	  129.913    	  126.683    
0.0	  131.379    	  141.737    	  154.207    	  170.407    	  184.085    	  181.123    	  168.975    	  156.676    	  144.762    	  136.019    	  135.485    
cpt:field=prec, cpt:L=6.0 months, cpt:S=1986-02-01T00:00, cpt:nrow=11, cpt:ncol=11, cpt:row=Y, cpt:col=X, cpt:units=mm/day, cf:standard_name=lwe_precipitation_rate, cpt:missing=-999, cpt:T=1986-06/09
	100.0	101.0	102.0	103.0	104.0	105.0	106.0	107.0	108.0	109.0	110.0
10.0	  258.490    	  272.529    	  291.369    	  310.523    	  323.611    	  322.356    	  310.780    	  304.543    	  298.841    	  290.556    	  278.258    
9.0	  218.035    	  222.412    	  238.049    	  259.136    	  277.857    	  284.393    	  276.755    	  274.519    	  271.286    	  263.923    	  252.570    
8.0	  173.292    	  185.217    	  197.286    	  214.815    	  235.874    	  251.290    	  255.077    	  254.304    	  251.695    	  245.945    	  231.727    
7.0	  160.305    	  173.069    	  179.827    	  189.296    	  205.979    	  230.170    	  240.619    	  242.074    	  235.309    	  220.819    	  198.822    
6.0	  173.788    	  165.659    	  166.912    	  175.311    	  193.111    	  227.064    	  238.516    	  235.380    	  220.497    	  196.826    	  167.444    
5.0	  171.650    	  179.817    	  181.132    	  185.170    	  197.918    	  221.776    	  227.880    	  213.018    	  188.033    	  160.669    	  135.568    
